Open,High,Low,Close,Volume,SMA_50,EMA_50,RSI,Stoch_RSI,Williams_R,Awesome_Oscillator,MACD,MACD_Signal,MACD_Diff,TSI,KAMA,ROC,Vortex_Diff,TRIX,Mass_Index,CCI,DPO,Ichimoku_A,Ichimoku_B,Aroon_Up,Aroon_Down,Aroon_Indicator,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_PBand,Bollinger_WBand,Keltner_Channel_Center,Keltner_Channel_Upper,Keltner_Channel_Lower,Donchian_Channel_Upper,Donchian_Channel_Lower,ATR,OBV,Chaikin_MF,Force_Index,Ease_of_Movement,Volume_Price_Trend,VWAP,SMA_200,EMA_200,ADX,Vortex_Pos,Vortex_Neg
1023.7418,1044.2167,1003.267,1023.7418,1244328,,,,,,,,,,,,,,,,,,,1023.7418518066406,,,,,,,,,,1064.69140625,982.7921752929688,,,0.0,1244328,,,,,,,,0.0,,
1023.7418,1385.5151,1331.1812,1358.3481,520902,,,,,,,,,,,,,,,,,,,1194.3910827636719,,,,,,,,,,1238.686767578125,1143.4031677246094,,,0.0,1765230,,,3490194.35277653,170254.9232211113,,,,0.0,,
1358.3481,1128.944,1084.6718,1106.8079,479684,,,,,,,,,,,,,,,,,,,1194.3910827636719,,,,,,,,,,1209.4845377604167,1116.4473266601562,,,0.0,1285546,,,-2321579.642796091,81426.5500125885,,,,0.0,,
1106.8079,1418.9564,1363.3112,1391.1338,849877,,,,,,,,,,,,,,,,,,,1211.1117248535156,,,,,,,,,,1268.8081359863281,1171.2076263427734,,,0.0,2135423,,,1861609.57427516,299749.98257672787,,,,0.0,,
1391.1338,1377.8134,1323.7816,1350.7975,489599,,,,,,,,,,,,,,,,,,,1211.1117248535156,,,,,,,,,,1296.012353515625,1196.3192504882813,,,0.0,1645824,,,-445148.10565955506,285553.92468845844,,,,0.0,,
1350.7975,1319.0455,1267.3182,1293.1819,439434,,,,,,,,,,,,,,,,,,,1211.1117248535156,,,,,,,,,,1304.1618245442708,1203.8418070475261,,,0.0,1206390,,,-678213.1269463958,266810.73565363884,,,,0.0,,
1293.1819,1192.608,1145.8392,1169.2236,283764,,,,,,,,,,,,,,,,,,,1211.1117248535156,,,,,,,,,,1291.566196986607,1192.215096609933,,,0.0,922626,,,-2043028.1564852304,239610.4704501629,,,,0.0,,
1169.2236,1188.1299,1141.5366,1164.8333,409503,,,,,,,,,,,,,,,,,,,1211.1117248535156,,,,,,,,,,1281.5487365722656,1182.9682083129883,,,0.0,513123,,,-49953.764516167306,238072.7975732088,,,,0.0,,
1164.8333,1423.7428,1367.9098,1395.8263,518237,,,,,,,,,,,,,,,,,,,1213.5049133300781,,,,,,,,,,1300.4499104817708,1200.4154391818577,,,0.0,1031360,,,2488636.6918634716,340842.1621248722,,,,0.0,,
1395.8263,1265.41,1215.7863,1240.5981,471953,,,,,,,,,,,1240.59814453125,,,,,,,,1213.5049133300781,,,,,,,,,,1299.4271118164063,1199.4713317871094,,,0.0,559407,,,-1632155.6011337463,288356.8369897604,,,,0.0,,
1240.5981,1342.766,1290.1085,1316.4373,240807,,,,,,,,,,,1242.9896870863095,,,,,,,,1213.5049133300781,,,,,,,,,,1305.7605313387785,1205.3175548206675,,,0.0,800214,,,1658380.3002443346,303077.6385381222,,,,0.0,,
