Open,High,Low,Close,Volume,SMA_50,EMA_50,RSI,Stoch_RSI,Williams_R,Awesome_Oscillator,MACD,MACD_Signal,MACD_Diff,TSI,KAMA,ROC,Vortex_Diff,TRIX,Mass_Index,CCI,DPO,Ichimoku_A,Ichimoku_B,Aroon_Up,Aroon_Down,Aroon_Indicator,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_PBand,Bollinger_WBand,Keltner_Channel_Center,Keltner_Channel_Upper,Keltner_Channel_Lower,Donchian_Channel_Upper,Donchian_Channel_Lower,ATR,OBV,Chaikin_MF,Force_Index,Ease_of_Movement,Volume_Price_Trend,VWAP,SMA_200,EMA_200,ADX,Vortex_Pos,Vortex_Neg
1349.5712,1376.5626,1322.5797,1349.5712,29376,,,,,,,,,,,,,,,,,,,1349.5711669921875,,,,,,,,,,1403.5540771484375,1295.5882568359375,,,0.0,29376,,,,,,,,0.0,,
1349.5712,1274.4839,1224.5042,1249.494,30746,,,,,,,,,,,,,,,,,,,1300.5333862304688,,,,,,,,,,1351.513916015625,1247.55126953125,,,0.0,-1370,,,-16268228.679645319,-2279.9633029699326,,,,0.0,,
1249.494,1107.8818,1064.4355,1086.1587,7834,,,,,,,,,,,,,,,,,,,1220.4990844726562,,,,,,,,,,1277.5442708333333,1179.2716471354167,,,0.0,-9204,,,-90583532.86754851,-3304.0328063964844,,,,0.0,,
1086.1587,1084.8746,1042.3307,1063.6027,17960,,,,,,,,,,,,,,,,,,,1209.4466552734375,,,,,,,,,,1234.6948547363281,1139.7184295654297,,,0.0,-27164,,,-5343109.674602415,-3677.0044388771057,,,,0.0,,
1063.6027,1123.9128,1079.8379,1101.8754,13414,,,,,,,,,,,,,,,,,,,1209.4466552734375,,,,,,,,,,1216.945947265625,1123.3348266601563,,,0.0,-13750,,,12575425.329588024,-3194.3145356178284,,,,0.0,,
1101.8754,1124.8163,1080.7059,1102.7611,19054,,,,,,,,,,,,,,,,,,,1209.4466552734375,,,,,,,,,,1205.266866048177,1112.5541483561199,,,0.0,5304,,,205050.90919511445,-3178.998392343521,,,,0.0,,
1102.7611,1067.5558,1025.6908,1046.6233,15196,,,,,,,,,,,,,,,,,,,1201.126708984375,,,,,,,,,,1188.5842110770088,1097.15474155971,,,0.0,-9892,,,-15465972.812027013,-3952.5750641822815,,,,0.0,,
1046.6233,1059.6383,1018.08386,1038.8611,13464,,,,,,,,,,,,,,,,,,,1197.3232421875,,,,,,,,,,1175.0631256103516,1084.673728942871,,,0.0,-23356,,,-2395678.8414939838,-4052.4298391342163,,,,0.0,,
1038.8611,1106.0823,1062.7065,1084.3944,21312,,,,,,,,,,,,,,,,,,,1197.3232421875,,,,,,,,,,1169.808349609375,1079.8231675889756,,,0.0,-2044,,,9267273.751107063,-3118.3240880966187,,,,0.0,,
1084.3944,1079.4579,1037.1263,1058.2921,14994,,,,,,,,,,,1058.2921142578125,,,,,,,,1197.3232421875,,,,,,,,,,1162.8898803710938,1073.4369140625,,,0.0,-17038,,,-7369283.976611478,-3479.242547273636,,,,0.0,,
1058.2921,988.9987,950.21454,969.6066,58696,,,,,,,,,,,1037.7735571520398,,,,,,,,1163.3885803222656,,,,,,,,,,1148.8445157137785,1060.471962668679,,,0.0,-75734,,,-5860013.885102903,-8397.999881029129,,,,0.0,,
