Open,High,Low,Close,Volume,SMA_50,EMA_50,RSI,Stoch_RSI,Williams_R,Awesome_Oscillator,MACD,MACD_Signal,MACD_Diff,TSI,KAMA,ROC,Vortex_Diff,TRIX,Mass_Index,CCI,DPO,Ichimoku_A,Ichimoku_B,Aroon_Up,Aroon_Down,Aroon_Indicator,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_PBand,Bollinger_WBand,Keltner_Channel_Center,Keltner_Channel_Upper,Keltner_Channel_Lower,Donchian_Channel_Upper,Donchian_Channel_Lower,ATR,OBV,Chaikin_MF,Force_Index,Ease_of_Movement,Volume_Price_Trend,VWAP,SMA_200,EMA_200,ADX,Vortex_Pos,Vortex_Neg
689.0153,702.7956,675.23505,689.0153,8716475.0,,,,,,,,,,,,,,,,,,,689.0153198242188,,,,,,,,,,716.5758666992188,661.4547729492188,,,0.0,8716475.0,,,,,,,,0.0,,
689.0153,593.3937,570.1234,581.75854,7352590.0,,,,,,,,,,,,,,,,,,,636.4595031738281,,,,,,,,,,660.8023376464844,609.9715270996094,,,0.0,1363885.0,,,-33945.77027342576,-1144553.9257794619,,,,0.0,,
581.75854,557.0567,535.21136,546.13403,5949260.0,,,,,,,,,,,,,,,,,,,619.0034790039062,,,,,,,,,,629.8613484700521,581.4105834960938,,,0.0,-4585375.0,,,-13081.113132597056,-1508862.2441369295,,,,0.0,,
546.13403,566.82776,544.59924,555.7135,8478366.0,,,,,,,,,,,,,,,,,,,619.0034790039062,,,,,,,,,,616.8815155029297,569.4291839599609,,,0.0,3892991.0,,,2511.5375700000377,-1360147.8479892015,,,,0.0,,
555.7135,547.6508,526.1744,536.9126,9056937.0,,,,,,,,,,,,,,,,,,,614.4849853515625,,,,,,,,,,605.1830200195312,558.6305786132813,,,0.0,-5163946.0,,,-4458.201368275086,-1666562.263811171,,,,0.0,,
536.9126,582.0624,559.23645,570.6494,3742249.0,,,,,,,,,,,,,,,,,,,614.4849853515625,,,,,,,,,,603.2317403157552,556.8293965657552,,,0.0,-1421697.0,,,20577.843903888912,-1431418.5759486556,,,,0.0,,
570.6494,540.2778,519.0904,529.6841,4784552.0,,,,,,,,,,,,,,,,,,,610.9429931640625,,,,,,,,,,595.7517002650669,549.9247262137277,,,0.0,-6206249.0,,,-18140.632561771195,-1774888.349675119,,,,0.0,,
529.6841,616.9785,592.7833,604.8809,3822498.0,,,,,,,,,,,,,,,,,,,610.9429931640625,,,,,,,,,,599.9172515869141,553.7698516845703,,,0.0,-2383751.0,,,47597.195746570695,-1232225.9331912398,,,,0.0,,
604.8809,687.43475,660.4765,673.9556,5935718.0,,,,,,,,,,,,,,,,,,,610.9429931640625,,,,,,,,,,611.1390991210938,564.1284654405382,,,0.0,3551967.0,,,31371.660526683547,-554393.1422972083,,,,0.0,,
673.9556,576.37823,553.7752,565.0767,5312994.0,,,,,,,,,,,565.0767211914062,,,,,,,,610.9429931640625,,,,,,,,,,608.7931640625,561.96298828125,,,0.0,-1761027.0,,,-46320.265370558955,-1412718.012564242,,,,0.0,,
565.0767,529.3538,508.59488,518.97437,5920735.0,,,,,,,,,,,562.1417485410866,,,,,,,,605.6952362060547,,,,,,,,,,602.5149980024858,556.1677551269531,,,0.0,-7681762.0,,,-16164.149180604794,-1895767.1178335547,,,,0.0,,
518.97437,447.36032,429.8168,438.58856,3545162.0,,,,,,,,,,,555.5583275876619,,,,,,,,566.3061981201172,,,,,,,,,,590.3164215087891,544.9075291951498,,,0.0,-11226924.0,,,-39779.55060216571,-2444889.9414084554,,,,0.0,,
438.58856,587.1859,564.15906,575.6725,5353707.0,,,,,,,,,,,555.7330935154424,-16.449972,,,,,,,566.3061981201172,,,,,,,,,,590.9612614558293,545.5027677095853,,,0.0,-5873217.0,,,58961.231390989924,-771551.4387598634,,,,0.0,,
575.6725,759.7406,729.9469,744.84375,4077658.0,,,59.655135833255635,,-4.515239789905469,,,,,,564.1234154132484,28.033144,,,,,,,594.7787017822266,,,,,,,,,,604.0809892926898,557.613287789481,,,79.27210998535156,-1795559.0,,-4709851.475997791,123606.20437638467,426738.6242811084,583.0430604569531,,,0.0,,
744.84375,537.2515,516.1828,526.71716,6182932.0,,,44.61168715765223,,-70.6294723781265,,,,,,563.9359707765421,-3.5553308,-0.08105927241659472,,,,,,594.7787017822266,,,,,,,,,,600.3279825846354,554.1489644368489,,,89.94274139404297,-7978491.0,,-196702994.73396072,-74327.99542454131,-1383925.381253779,567.0466067561189,,,0.0,0.8485422258642003,0.929601498280795
526.71716,531.0308,510.20612,520.61847,5619187.0,,,44.275503966787966,,-72.47798827539836,,,,,,563.5351605549218,-6.3153105,-0.05575989633649514,,,,,,594.7787017822266,,,,,,,,,,596.6476821899414,550.751766204834,,,85.00573893955776,-13597678.0,,-173498238.5127849,-2260.175885256788,-1448988.1442441344,562.3018142626337,,,0.0,0.8619164342073261,0.9176763305438213
520.61847,507.7097,487.79953,497.7546,7012082.0,,,42.968213576741775,,-79.40803128829742,,,,,,563.0585137383782,-7.2931776,-0.05274496179139332,,,,,,594.7787017822266,,,,,,,,,,592.0016299977023,546.4631006577436,,,81.27811038737396,-20609760.0,,-171616099.9763167,-6491.981311378214,-1756935.6617345214,557.7812362038427,,,0.0,0.8629691397005751,0.9157141014919684
