Open,High,Low,Close,Volume,SMA_50,EMA_50,RSI,Stoch_RSI,Williams_R,Awesome_Oscillator,MACD,MACD_Signal,MACD_Diff,TSI,KAMA,ROC,Vortex_Diff,TRIX,Mass_Index,CCI,DPO,Ichimoku_A,Ichimoku_B,Aroon_Up,Aroon_Down,Aroon_Indicator,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_PBand,Bollinger_WBand,Keltner_Channel_Center,Keltner_Channel_Upper,Keltner_Channel_Lower,Donchian_Channel_Upper,Donchian_Channel_Lower,ATR,OBV,Chaikin_MF,Force_Index,Ease_of_Movement,Volume_Price_Trend,VWAP,SMA_200,EMA_200,ADX,Vortex_Pos,Vortex_Neg
576.2843,587.81,564.7586,576.2843,9608,,,,,,,,,,,,,,,,,,,576.2843017578125,,,,,,,,,,599.335693359375,553.23291015625,,,0.0,9608,,,,,,,,0.0,,
576.2843,629.49335,604.8073,617.1503,11976,,,,,,,,,,,,,,,,,,,597.1259765625,,,,,,,,,,620.5860290527344,572.8486022949219,,,0.0,21584,,,8423682.28481703,849.2535753250122,,,,0.0,,
617.1503,704.8617,677.2201,691.0409,15976,,,,,,,,,,,,,,,,,,,634.8101501464844,,,,,,,,,,653.2848307291666,603.0321655273438,,,0.0,37560,,,12784511.086698407,2762.039037704468,,,,0.0,,
691.0409,648.82794,623.3837,636.10583,9110,,,,,,,,,,,,,,,,,,,634.8101501464844,,,,,,,,,,655.3511352539062,604.9395294189453,,,0.0,28450,,,-15343352.568005625,2037.8296974897385,,,,0.0,,
636.10583,533.1727,512.26404,522.7184,8862,,,,,,,,,,,,,,,,,,,608.5628662109375,,,,,,,,,,633.0063232421875,584.3135620117188,,,0.0,19588,,,-26752236.550722186,458.1558814048767,,,,0.0,,
522.7184,777.6783,747.1811,762.4297,16087,,,,,,,,,,,,,,,,,,,644.9711608886719,,,,,,,,,,659.6597595214844,608.9167073567709,,,0.0,35675,,,45443662.41472151,7835.428502321243,,,,0.0,,
762.4297,638.62964,613.5853,626.1075,18887,,,,,,,,,,,,,,,,,,,644.9711608886719,,,,,,,,,,658.4443359375,607.7947736467634,,,0.0,16788,,,-18076431.95385715,4458.438779652119,,,,0.0,,
626.1075,622.8743,598.44794,610.66113,44474,,,,,,,,,,,,,,,,,,,644.9711608886719,,,,,,,,,,655.5247344970703,605.0997695922852,,,0.0,-27686,,,-848357.6561235216,3361.246428191662,,,,0.0,,
610.66113,567.38025,545.13,556.2551,17373,,,,,,,,,,,,,,,,,,,644.9711608886719,,,,,,,,,,646.967027452257,597.2003377278646,,,0.0,-45059,,,-6967978.328440684,1813.4228715896606,,,,0.0,,
556.2551,701.22296,673.72406,687.4735,12259,,,,,,,,,,,687.4735107421875,,,,,,,,644.9711608886719,,,,,,,,,,653.7675659179688,603.4777648925781,,,0.0,-32800,,,29434385.578962397,4705.271829247475,,,,0.0,,
687.4735,640.80646,615.6768,628.24164,9204,,,,,,,,,,,686.8983096886705,,,,,,,,644.9711608886719,,,,,,,,,,653.7315396395596,603.4445134943181,,,0.0,-42004,,,-16172051.12926445,3912.2666717767715,,,,0.0,,
628.24164,568.15234,545.8718,557.0121,8898,,,,,,,,,,,685.5298771570084,,,,,,,,644.9711608886719,,,,,,,,,,647.5282948811849,597.7184346516927,,,0.0,-50902,,,-17835821.219041497,2903.418193936348,,,,0.0,,
557.0121,602.1266,578.5138,590.3202,16505,,,,,,,,,,,683.8904332280026,2.435584,,,,,,,644.9711608886719,,,,,,,,,,644.9440401517428,595.3329702524038,,,0.0,-34397,,,4765206.758487011,3890.380285859108,,,,0.0,,
