Open,High,Low,Close,Volume,SMA_50,EMA_50,RSI,Stoch_RSI,Williams_R,Awesome_Oscillator,MACD,MACD_Signal,MACD_Diff,TSI,KAMA,ROC,Vortex_Diff,TRIX,Mass_Index,CCI,DPO,Ichimoku_A,Ichimoku_B,Aroon_Up,Aroon_Down,Aroon_Indicator,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_PBand,Bollinger_WBand,Keltner_Channel_Center,Keltner_Channel_Upper,Keltner_Channel_Lower,Donchian_Channel_Upper,Donchian_Channel_Lower,ATR,OBV,Chaikin_MF,Force_Index,Ease_of_Movement,Volume_Price_Trend,VWAP,SMA_200,EMA_200,ADX,Vortex_Pos,Vortex_Neg
1438.0939,1466.8557,1409.332,1438.0939,123810,,,,,,,,,,,,,,,,,,,1438.0938720703125,,,,,,,,,,1495.6175537109375,1380.5701904296875,,,0.0,123810,,,,,,,,0.0,,
1438.0939,1580.919,1518.9221,1549.9205,64494,,,,,,,,,,,,,,,,,,,1495.12548828125,,,,,,,,,,1553.7674560546875,1434.2469482421875,,,0.0,188304,,,10749678.961172745,5015.075289487839,,,,0.0,,
1549.9205,1745.347,1676.9022,1711.1246,27819,,,,,,,,,,,,,,,,,,,1577.3395385742188,,,,,,,,,,1629.0347900390625,1503.7245686848958,,,0.0,216123,,,39662050.89147705,7908.472711086273,,,,0.0,,
1711.1246,1391.0212,1336.4714,1363.7463,43810,,,,,,,,,,,,,,,,,,,1540.9092407226562,,,,,,,,,,1576.3501586914062,1455.0925598144531,,,0.0,172313,,,-43253636.08479799,-985.4694966077805,,,,0.0,,
1363.7463,1577.3756,1515.5177,1546.4467,116800,,,,,,,,,,,,,,,,,,,1540.9092407226562,,,,,,,,,,1582.7410400390625,1460.991796875,,,0.0,289113,,,9675907.500802653,14662.15947830677,,,,0.0,,
1546.4467,1321.2194,1269.4069,1295.3131,14845,,,,,,,,,,,,,,,,,,,1507.376953125,,,,,,,,,,1543.4718017578125,1424.7432657877605,,,0.0,274268,,,-87651441.19442573,12251.421623468399,,,,0.0,,
1295.3131,1402.9548,1347.937,1375.4459,18263,,,,,,,,,,,,,,,,,,,1507.376953125,,,,,,,,,,1527.3277936662946,1409.841099330357,,,0.0,292531,,,24140244.812770355,13381.237660884857,,,,0.0,,
1375.4459,1486.8335,1428.5264,1457.6799,3503,,,,,,,,,,,,,,,,,,,1507.376953125,,,,,,,,,,1525.9101867675781,1408.5325469970703,,,0.0,296034,,,136877793.36461607,13590.672062039375,,,,0.0,,
1457.6799,1412.6967,1357.2968,1384.9967,14232,,,,,,,,,,,,,,,,,,,1507.376953125,,,,,,,,,,1516.4086778428818,1399.7619086371528,,,0.0,281802,,,-28292887.850113302,12881.032298207283,,,,0.0,,
1384.9967,1241.9064,1193.2042,1217.5553,3164,,,,,,,,,,,1217.5552978515625,,,,,,,,1469.275634765625,,,,,,,,,,1491.3935546875,1376.6710327148437,,,0.0,278638,,,-257735662.0624605,12498.515337347984,,,,0.0,,
